Size,Bubble,Insertion,Selection,Merge,QuickRandom,QuickMOM
10000,75.333333,30.666667,109.000000,0.333333,0.333333,1.333333
20000,572.000000,154.666667,502.000000,1.333333,1.333333,3.333333
30000,1254.666667,1066.333333,1124.000000,2.000000,2.000000,5.000000
40000,2568.000000,640.333333,2152.000000,4.000000,4.000000,9.666667
50000,4496.666667,986.666667,3255.000000,3.666667,3.666667,8.666667
60000,5988.666667,1395.666667,4385.333333,6.333333,8.666667,13.000000
70000,8222.000000,1932.666667,6414.666667,7.333333,7.666667,16.333333
80000,9462.000000,2078.000000,6658.000000,6.333333,6.333333,13.333333
90000,10531.666667,2186.000000,6961.666667,5.000000,7.333333,12.333333
100000,17863.000000,3540.333333,12723.000000,8.000000,11.333333,18.333333
110000,19902.000000,3897.333333,12130.666667,7.666667,7.333333,18.333333
120000,21637.333333,4486.333333,15162.000000,11.000000,10.666667,23.333333
130000,26958.666667,6285.666667,19019.666667,10.666667,11.000000,24.333333
140000,28907.333333,5736.333333,18821.000000,11.000000,11.333333,27.333333
150000,43553.333333,9519.333333,28528.666667,16.666667,15.000000,29.666667
