Size,Bubble,Insertion,Selection,Merge,QuickRandom,QuickMOM
10000,27.000000,76.000000,122.000000,0.000000,65.000000,1.000000
20000,91.000000,316.000000,486.000000,0.000000,288.000000,2.000000
30000,155.000000,588.000000,1039.000000,0.000000,484.000000,3.000000
40000,390.000000,1287.000000,1994.000000,0.000000,1053.000000,8.000000
50000,622.000000,2194.000000,3524.000000,1.000000,1993.000000,6.000000
60000,925.000000,3118.000000,4818.000000,2.000000,2438.000000,11.000000
70000,965.000000,3662.000000,5873.000000,1.000000,3093.000000,9.000000
80000,1099.000000,4056.000000,7254.000000,3.000000,3370.000000,16.000000
90000,1789.000000,6356.000000,10546.000000,1.000000,5654.000000,13.000000
100000,1478.000000,5451.000000,8761.000000,3.000000,4717.000000,15.000000
110000,2733.000000,9233.000000,14023.000000,2.000000,7671.000000,22.000000
120000,2774.000000,10347.000000,23253.000000,3.000000,10434.000000,23.000000
130000,2607.000000,9532.000000,18769.000000,2.000000,11096.000000,20.000000
140000,3308.000000,12331.000000,19820.000000,5.000000,9988.000000,17.000000
150000,3471.000000,20883.000000,31475.000000,3.000000,15338.000000,18.000000
