Size,Bubble,Insertion,Selection,Merge,QuickRandom,QuickMOM
10000,0.000000,0.000000,165.000000,0.000000,0.000000,1.000000
20000,0.000000,0.000000,493.000000,0.000000,1.000000,3.000000
30000,0.000000,0.000000,1094.000000,0.000000,1.000000,3.000000
40000,0.000000,0.000000,2034.000000,1.000000,3.000000,10.000000
50000,0.000000,0.000000,3684.000000,1.000000,2.000000,7.000000
60000,0.000000,0.000000,4940.000000,1.000000,2.000000,8.000000
70000,0.000000,0.000000,6716.000000,1.000000,3.000000,8.000000
80000,0.000000,0.000000,7271.000000,1.000000,2.000000,11.000000
90000,0.000000,0.000000,11225.000000,2.000000,4.000000,12.000000
100000,0.000000,0.000000,16076.000000,1.000000,3.000000,9.000000
110000,0.000000,0.000000,14763.000000,2.000000,4.000000,14.000000
120000,0.000000,0.000000,16224.000000,3.000000,4.000000,16.000000
130000,0.000000,0.000000,16592.000000,2.000000,4.000000,13.000000
140000,0.000000,0.000000,19027.000000,2.000000,5.000000,17.000000
150000,0.000000,0.000000,20339.000000,3.000000,4.000000,16.000000
