Size,Bubble,Insertion,Selection,Merge,QuickRandom,QuickMOM
10000,52.000000,29.666667,93.666667,0.000000,0.000000,1.000000
20000,401.000000,132.333333,437.000000,1.666667,1.666667,3.333333
30000,1283.333333,356.000000,1093.000000,2.333333,2.666667,5.666667
40000,2285.666667,631.333333,3150.666667,3.000000,3.000000,9.000000
50000,3853.333333,1063.666667,3214.333333,3.333333,4.000000,9.666667
60000,5825.333333,1462.333333,4830.666667,4.666667,7.333333,14.000000
70000,9026.333333,2123.000000,7101.333333,5.666667,7.666667,18.333333
80000,10390.000000,2622.666667,8466.000000,7.666667,7.333333,17.666667
90000,12325.333333,3222.666667,10825.000000,7.666667,9.333333,20.000000
100000,14782.000000,3539.666667,13948.333333,8.666667,10.000000,21.333333
110000,20130.000000,4736.000000,16959.000000,9.000000,10.666667,23.666667
120000,22364.666667,5915.333333,19040.000000,9.666667,10.666667,24.666667
130000,28659.666667,6832.333333,23183.000000,12.000000,15.000000,37.666667
140000,29525.333333,6730.666667,27833.333333,14.000000,13.000000,28.333333
150000,33172.000000,9186.333333,27867.000000,13.333333,14.666667,26.666667
