Size,Bubble,Insertion,Selection,Merge,QuickRandom,QuickMOM
10000,22.000000,74.000000,136.000000,0.000000,61.000000,1.000000
20000,78.000000,269.000000,423.000000,0.000000,227.000000,2.000000
30000,188.000000,674.000000,1067.000000,0.000000,532.000000,3.000000
40000,356.000000,1181.000000,2022.000000,0.000000,951.000000,4.000000
50000,609.000000,2079.000000,3473.000000,2.000000,1713.000000,7.000000
60000,691.000000,2379.000000,4207.000000,1.000000,5016.000000,8.000000
70000,1065.000000,3506.000000,5979.000000,1.000000,3110.000000,10.000000
80000,1541.000000,5614.000000,8027.000000,1.000000,4206.000000,12.000000
90000,2031.000000,6704.000000,11174.000000,2.000000,4938.000000,15.000000
100000,2608.000000,8872.000000,13561.000000,3.000000,7525.000000,19.000000
110000,2605.000000,15009.000000,15815.000000,2.000000,7793.000000,24.000000
120000,2907.000000,10873.000000,22012.000000,6.000000,9589.000000,25.000000
130000,3317.000000,16073.000000,23368.000000,3.000000,11270.000000,18.000000
140000,5140.000000,18180.000000,25872.000000,6.000000,12801.000000,22.000000
150000,4659.000000,16797.000000,28404.000000,2.000000,10566.000000,21.000000
