Size,Bubble,Insertion,Selection,Merge,QuickRandom,QuickMOM
10000,0.000000,0.000000,149.000000,0.000000,0.000000,1.000000
20000,0.000000,0.000000,429.000000,0.000000,0.000000,2.000000
30000,0.000000,0.000000,1076.000000,0.000000,1.000000,5.000000
40000,0.000000,0.000000,2079.000000,1.000000,1.000000,4.000000
50000,0.000000,0.000000,3432.000000,1.000000,2.000000,7.000000
60000,0.000000,0.000000,4271.000000,1.000000,2.000000,7.000000
70000,0.000000,0.000000,6128.000000,1.000000,2.000000,7.000000
80000,0.000000,0.000000,10412.000000,2.000000,3.000000,19.000000
90000,0.000000,0.000000,10460.000000,2.000000,4.000000,12.000000
100000,0.000000,0.000000,14610.000000,2.000000,5.000000,14.000000
110000,0.000000,0.000000,14056.000000,2.000000,4.000000,14.000000
120000,0.000000,0.000000,17857.000000,4.000000,7.000000,15.000000
130000,0.000000,0.000000,18761.000000,2.000000,5.000000,16.000000
140000,0.000000,0.000000,27077.000000,3.000000,7.000000,27.000000
150000,0.000000,0.000000,25264.000000,4.000000,6.000000,22.000000
